birthyear,race,lottery,earnings,earnings.n,year,age,drafted,served
50,2,67,929.7184466,74,66,16,0,0
50,2,68,783.8802589,77,66,16,0,0
50,2,69,510.4336569,67,66,16,0,0
50,2,70,1640.679612,71,66,16,0,0
50,2,71,1014.790723,75,66,16,0,0
50,2,72,644.1186623,81,66,16,0,0
50,2,73,935.7950377,85,66,16,0,0
51,1,1,796.7050812,229,67,16,1,0
51,1,2,1274.72813,229,67,16,1,0
51,1,3,1357.349398,221,67,16,1,0
51,1,4,1144.894709,273,67,16,1,0
51,1,5,1475.37978,236,67,16,1,0
51,1,6,985.553693,245,67,16,1,0
51,1,7,1020.962808,242,67,16,1,1
51,1,8,1257.023573,221,67,16,1,0
51,1,9,814.4096386,271,67,16,1,1
51,1,10,1469.478261,227,67,16,1,0
51,1,11,1327.841802,233,67,16,1,1
51,1,12,1894.387638,199,67,16,1,0
51,1,13,1032.765846,204,67,16,1,0
51,1,14,814.4096386,218,67,16,1,1
51,1,15,1121.288633,235,67,16,1,1
51,1,16,967.8491357,203,67,16,1,0
51,1,17,1044.568884,242,67,16,1,0
51,1,18,885.227868,228,67,16,1,0
51,1,19,1286.531168,230,67,16,1,1
51,1,20,1192.106862,246,67,16,1,0
51,1,21,1233.417496,207,67,16,1,0
51,1,22,861.6217915,244,67,16,1,1
51,1,23,1115.387114,220,67,16,1,1
51,1,24,1168.500786,231,67,16,1,0
51,1,25,1304.235726,224,67,16,1,0
51,1,26,708.1822944,234,67,16,0,0
51,1,27,1245.220534,234,67,16,0,0
51,1,28,1457.675223,224,67,16,0,0
51,1,29,1434.069146,231,67,16,0,0
51,1,30,1463.576742,220,67,16,0,0
51,1,31,1003.25825,185,67,16,0,0
51,1,32,1587.508643,246,67,16,0,0
51,1,33,879.3263489,220,67,16,0,0
51,1,34,985.553693,227,67,16,0,0
51,1,35,1068.174961,243,67,16,0,0
51,1,36,1410.46307,208,67,16,0,0
51,1,37,956.0460974,247,67,16,0,0
51,1,38,1457.675223,218,67,16,0,0
51,1,39,826.2126768,274,67,16,0,0
51,1,40,702.2807753,235,67,16,0,0
51,1,41,1239.319015,219,67,16,0,0
51,1,42,1168.500786,229,67,16,0,0
51,1,43,1286.531168,231,67,16,0,0
51,1,44,1233.417496,200,67,16,0,0
51,1,45,1534.394971,239,67,16,0,0
51,1,46,1268.826611,251,67,16,0,0
51,1,47,956.0460974,245,67,16,0,0
51,1,48,914.7354636,229,67,16,0,0
51,1,49,1097.682556,221,67,16,0,0
51,1,50,820.3111577,249,67,16,0,0
51,1,51,572.4473546,179,67,16,0,0
51,1,52,1085.879518,231,67,16,0,0
51,1,53,1091.781037,271,67,16,0,1
51,1,54,1180.303824,216,67,16,0,1
51,1,55,961.9476166,227,67,16,0,0
51,1,56,1009.15977,237,67,16,0,0
51,1,57,1091.781037,241,67,16,0,0
51,1,58,855.7202724,237,67,16,0,0
51,1,59,1003.25825,247,67,16,0,0
51,1,60,1687.834468,232,67,16,0,0
51,1,61,997.3567313,241,67,16,0,0
51,1,62,855.7202724,251,67,16,0,0
51,1,63,885.227868,255,67,16,0,0
51,1,64,784.902043,214,67,16,0,1
51,1,65,861.6217915,223,67,16,0,0
51,1,66,1156.697748,244,67,16,0,0
51,1,67,1026.864327,197,67,16,0,0
51,1,68,1292.432687,230,67,16,0,0
51,1,69,1262.925092,245,67,16,0,0
51,1,70,1127.190152,214,67,16,0,0
51,1,71,1894.387638,213,67,16,0,0
51,1,72,1292.432687,234,67,16,0,0
51,1,73,956.0460974,205,67,16,0,1
51,2,1,631.4625458,81,67,16,1,0
51,2,2,478.0230487,69,67,16,1,0
51,2,3,849.8187533,71,67,16,1,0
51,2,4,466.2200105,64,67,16,1,1
51,2,5,926.5385018,73,67,16,1,1
51,2,6,395.401781,73,67,16,1,0
51,2,7,867.5233106,68,67,16,1,0
51,2,8,908.8339445,67,67,16,1,0
51,2,9,944.2430592,70,67,16,1,0
51,2,10,655.0686223,68,67,16,1,0
51,2,11,566.5458355,74,67,16,1,0
51,2,12,1752.751179,74,67,16,1,0
51,2,13,755.3944474,70,67,16,1,0
51,2,14,1015.061289,59,67,16,1,0
51,2,15,672.7731797,67,67,16,1,0
51,2,16,755.3944474,84,67,16,1,0
51,2,17,985.553693,80,67,16,1,0
51,2,18,578.3488738,66,67,16,1,0
51,2,19,696.3792562,71,67,16,1,0
51,2,20,560.6443164,68,67,16,1,1
51,2,21,796.7050812,75,67,16,1,0
51,2,22,377.6972237,77,67,16,1,1
51,2,23,1068.174961,75,67,16,1,1
51,2,24,1298.334206,76,67,16,1,1
51,2,25,1221.614458,69,67,16,1,1
51,2,26,855.7202724,75,67,16,0,0
51,2,27,902.9324254,71,67,16,0,0
51,2,28,1221.614458,63,67,16,0,0
51,2,29,1670.129911,65,67,16,0,0
51,2,30,1103.584075,92,67,16,0,0
51,2,31,649.1671032,57,67,16,0,0
51,2,32,460.3184914,74,67,16,0,0
51,2,33,855.7202724,63,67,16,0,0
51,2,34,436.7124149,66,67,16,0,0
51,2,35,1050.470403,78,67,16,0,0
51,2,36,1062.273442,65,67,16,0,0
51,2,37,578.3488738,81,67,16,0,1
51,2,38,1085.879518,63,67,16,0,0
51,2,39,944.2430592,77,67,16,0,0
51,2,40,395.401781,70,67,16,0,0
51,2,41,961.9476166,70,67,16,0,0
51,2,42,802.6066003,80,67,16,0,1
51,2,43,1292.432687,73,67,16,0,0
51,2,44,773.0990047,59,67,16,0,0
51,2,45,790.8035621,74,67,16,0,0
51,2,46,1215.712939,61,67,16,0,0
51,2,47,914.7354636,72,67,16,0,0
51,2,48,430.8108958,66,67,16,0,1
51,2,49,554.7427973,72,67,16,0,0
51,2,50,1062.273442,78,67,16,0,0
51,2,51,1038.667365,72,67,16,0,0
51,2,52,997.3567313,64,67,16,0,0
51,2,53,731.7883709,89,67,16,0,0
51,2,54,625.5610267,77,67,16,0,0
51,2,55,483.9245678,64,67,16,0,0
51,2,56,826.2126768,71,67,16,0,0
51,2,57,749.4929282,86,67,16,0,0
51,2,58,525.2352017,62,67,16,0,0
51,2,59,531.1367208,74,67,16,0,0
51,2,60,1133.091671,91,67,16,0,0
51,2,61,537.0382399,59,67,16,0,0
51,2,62,554.7427973,87,67,16,0,0
51,2,63,755.3944474,89,67,16,0,0
51,2,64,920.6369827,65,67,16,0,0
51,2,65,790.8035621,70,67,16,0,0
51,2,66,997.3567313,74,67,16,0,0
51,2,67,607.8564694,62,67,16,0,0
51,2,68,1251.122053,87,67,16,0,0
51,2,69,413.1063384,69,67,16,0,0
51,2,70,979.6521739,68,67,16,0,1
51,2,71,796.7050812,76,67,16,0,0
51,2,72,820.3111577,76,67,16,0,0
51,2,73,1138.99319,78,67,16,0,0
52,1,1,907.8208209,258,68,16,1,0
52,1,2,1426.575576,235,68,16,1,0
52,1,3,1578.818819,241,68,16,1,0
52,1,4,930.3753754,240,68,16,1,0
52,1,5,1437.852853,217,68,16,1,1
52,1,6,1466.046046,216,68,16,1,0
52,1,7,1144.643644,266,68,16,1,0
52,1,8,958.5685686,253,68,16,1,0
52,1,9,1184.114114,239,68,16,1,0
52,1,10,1251.777778,238,68,16,1,0
52,1,11,1528.071071,238,68,16,1,0
52,1,12,1381.466467,239,68,16,1,1
52,1,13,1217.945946,247,68,16,1,0
52,1,14,1037.50951,253,68,16,1,0
52,1,15,1291.248248,234,68,16,1,0
52,1,16,964.2072073,247,68,16,1,1
52,1,17,1460.407408,266,68,16,1,0
52,1,18,1691.591592,254,68,16,1,1
52,1,19,1122.089089,250,68,16,1,1
52,1,20,941.6526527,248,68,16,0,0
52,1,21,1144.643644,218,68,16,0,1
52,1,22,1623.927928,212,68,16,0,0
52,1,23,1133.366366,244,68,16,0,0
52,1,24,1561.902903,227,68,16,0,0
52,1,25,1274.332332,244,68,16,0,0
52,1,26,969.8458459,249,68,16,0,0
52,1,27,1043.148148,256,68,16,0,0
52,1,28,1139.005005,241,68,16,0,0
52,1,29,885.2662663,280,68,16,0,0
52,1,30,1082.618619,279,68,16,0,0
52,1,31,1122.089089,244,68,16,0,0
52,1,32,1093.895896,232,68,16,0,1
52,1,33,1184.114114,217,68,16,0,0
52,1,34,1099.534535,263,68,16,0,0
52,1,35,1139.005005,213,68,16,0,1
52,1,36,1426.575576,246,68,16,0,0
52,1,37,1753.616617,210,68,16,0,0
52,1,38,1263.055055,241,68,16,0,0
52,1,39,1905.85986,235,68,16,0,0
52,1,40,1550.625626,248,68,16,0,1
52,1,41,1358.911912,239,68,16,0,0
52,1,42,1793.087087,250,68,16,0,0
52,1,43,1167.198198,247,68,16,0,0
52,1,44,1990.43944,271,68,16,0,0
52,1,45,1251.777778,234,68,16,0,1
52,1,46,1105.173173,316,68,16,0,0
52,1,47,1697.23023,261,68,16,0,0
52,1,48,1358.911912,198,68,16,0,0
52,1,49,879.6276277,228,68,16,0,0
52,1,50,1381.466467,216,68,16,0,0
52,1,51,1279.970971,262,68,16,0,0
52,1,52,1274.332332,243,68,16,0,0
52,1,53,1466.046046,239,68,16,0,0
52,1,54,1392.743744,247,68,16,0,0
52,1,55,1477.323323,187,68,16,0,0
52,1,56,1618.289289,228,68,16,0,1
52,1,57,1308.164164,248,68,16,0,0
52,1,58,1392.743744,256,68,16,0,0
52,1,59,1105.173173,242,68,16,0,0
52,1,60,1246.139139,178,68,16,0,0
52,1,61,1223.584585,245,68,16,0,0
52,1,62,1358.911912,266,68,16,0,0
52,1,63,1279.970971,260,68,16,0,1
52,1,64,1093.895896,246,68,16,0,0
52,1,65,1217.945946,273,68,16,0,0
52,1,66,1167.198198,212,68,16,0,0
52,1,67,1206.668669,292,68,16,0,1
52,1,68,1336.357357,239,68,16,0,0
52,1,69,1155.920921,234,68,16,0,0
52,1,70,1488.600601,245,68,16,0,1
52,1,71,1404.021021,249,68,16,0,0
52,1,72,1313.802803,239,68,16,0,0
52,1,73,868.3503504,259,68,16,0,0
52,2,1,434.1751752,67,68,16,1,0
52,2,2,1127.727728,94,68,16,1,1
52,2,3,693.5525526,73,68,16,1,0
52,2,4,484.922923,62,68,16,1,0
52,2,5,907.8208209,73,68,16,1,0
52,2,6,817.6026027,70,68,16,1,0
52,2,7,608.972973,62,68,16,1,0
52,2,8,755.5775776,78,68,16,1,0
52,2,9,828.8798799,69,68,16,1,1
52,2,10,811.963964,65,68,16,1,0
52,2,11,1652.121121,57,68,16,1,0
52,2,12,1093.895896,73,68,16,1,0
52,2,13,687.913914,60,68,16,1,0
52,2,14,749.938939,91,68,16,1,0
52,2,15,704.8298299,80,68,16,1,0
52,2,16,1229.223223,71,68,16,1,0
52,2,17,755.5775776,56,68,16,1,0
52,2,18,1167.198198,76,68,16,1,0
52,2,19,1003.677678,78,68,16,1,0
52,2,20,958.5685686,91,68,16,0,0
52,2,21,845.7957959,80,68,16,0,1
52,2,22,1353.273273,61,68,16,0,0
52,2,23,919.0980982,73,68,16,0,0
52,2,24,1663.398399,84,68,16,0,1
52,2,25,1082.618619,62,68,16,0,0
52,2,26,913.4594595,74,68,16,0,0
52,2,27,1014.954955,78,68,16,0,0
52,2,28,1178.475476,83,68,16,0,0
52,2,29,654.0820821,78,68,16,0,0
52,2,30,1065.702703,84,68,16,0,1
52,2,31,811.963964,78,68,16,0,0
52,2,32,1471.684685,79,68,16,0,0
52,2,33,1037.50951,62,68,16,0,0
52,2,34,817.6026027,80,68,16,0,0
52,2,35,451.0910911,64,68,16,0,1
52,2,36,687.913914,68,68,16,0,0
52,2,37,1009.316316,71,68,16,0,0
52,2,38,530.0320321,71,68,16,0,0
52,2,39,896.5435436,61,68,16,0,0
52,2,40,1268.693694,90,68,16,0,1
52,2,41,806.3253254,78,68,16,0,0
52,2,42,817.6026027,81,68,16,0,0
52,2,43,744.3003003,61,68,16,0,0
52,2,44,1370.189189,86,68,16,0,0
52,2,45,806.3253254,87,68,16,0,0
52,2,46,1076.97998,98,68,16,0,1
52,2,47,851.4344345,83,68,16,0,0
52,2,48,896.5435436,66,68,16,0,0
52,2,49,857.0730731,80,68,16,0,0
52,2,50,772.4934935,87,68,16,0,0
52,2,51,654.0820821,89,68,16,0,0
52,2,52,755.5775776,69,68,16,0,0
52,2,53,1482.961962,86,68,16,0,0
52,2,54,890.904905,77,68,16,0,0
52,2,55,924.7367368,70,68,16,0,0
52,2,56,1246.139139,80,68,16,0,0
52,2,57,1167.198198,76,68,16,0,0
52,2,58,1178.475476,83,68,16,0,0
52,2,59,1122.089089,70,68,16,0,0
52,2,60,1184.114114,59,68,16,0,1
52,2,61,823.2412413,82,68,16,0,1
52,2,62,840.1571572,73,68,16,0,0
52,2,63,749.938939,70,68,16,0,0
52,2,64,699.1911912,69,68,16,0,0
52,2,65,749.938939,75,68,16,0,0
52,2,66,749.938939,76,68,16,0,0
52,2,67,682.2752753,79,68,16,0,0
52,2,68,1381.466467,78,68,16,0,0
52,2,69,811.963964,72,68,16,0,0
52,2,70,1043.148148,86,68,16,0,1
52,2,71,772.4934935,75,68,16,0,1
52,2,72,716.1071072,68,68,16,0,0
52,2,73,755.5775776,101,68,16,0,0
50,1,1,2736.028572,192,67,17,1,1
50,1,2,2687.745714,237,67,17,1,0
50,1,3,2424.872381,229,67,17,1,1
50,1,4,2457.060952,246,67,17,1,1
50,1,5,2612.639048,214,67,17,1,0
50,1,6,2558.991429,208,67,17,1,0
50,1,7,2972.078095,178,67,17,1,0
50,1,8,2408.778095,220,67,17,1,1
50,1,9,2296.118095,227,67,17,1,1
50,1,10,2210.281905,243,67,17,1,1
50,1,11,2537.532381,234,67,17,1,0
50,1,12,2837.959048,211,67,17,1,0
50,1,13,3047.184762,242,67,17,1,1
50,1,14,2349.765714,212,67,17,1,0
50,1,15,2945.254286,211,67,17,1,1
50,1,16,2553.626667,209,67,17,1,0
50,1,17,2757.487619,210,67,17,1,0
50,1,18,2880.877143,220,67,17,1,0
50,1,19,2725.299048,224,67,17,1,1
50,1,20,1856.207619,226,67,17,1,0
50,1,21,3165.209524,229,67,17,1,0
50,1,22,2585.815238,246,67,17,1,0
50,1,23,2660.921905,264,67,17,1,0
50,1,24,2419.507619,233,67,17,1,0
50,1,25,2907.700953,222,67,17,1,1
50,1,26,2344.400952,216,67,17,1,0
50,1,27,2145.904762,230,67,17,1,0
50,1,28,2923.795238,191,67,17,1,0
50,1,29,2725.299048,234,67,17,1,1
50,1,30,2585.815238,200,67,17,1,1
50,1,31,3116.926667,241,67,17,1,1
50,1,32,2489.249524,231,67,17,1,0
50,1,33,2666.286667,218,67,17,1,0
50,1,34,2607.274286,222,67,17,1,1
50,1,35,1995.691429,225,67,17,1,0
50,1,36,2939.889524,238,67,17,1,0
50,1,37,2462.425714,211,67,17,1,0
50,1,38,3079.373333,233,67,17,1,0
50,1,39,2746.758095,241,67,17,1,0
50,1,40,2752.122857,217,67,17,0,0
50,1,41,2575.085714,218,67,17,0,0
50,1,42,2875.512381,211,67,17,0,0
50,1,43,2730.66381,242,67,17,0,0
50,1,44,2918.430476,209,67,17,0,0
50,1,45,3031.090476,242,67,17,0,0
50,1,46,2102.986667,210,67,17,0,0
50,1,47,2827.229524,222,67,17,0,0
50,1,48,2993.537143,216,67,17,0,0
50,1,49,2381.954286,215,67,17,0,0
50,1,50,2929.16,246,67,17,0,0
50,1,51,2457.060952,206,67,17,0,0
50,1,52,3068.64381,214,67,17,0,0
50,1,53,2274.659048,221,67,17,0,0
50,1,54,2988.172381,219,67,17,0,0
50,1,55,3508.554286,185,67,17,0,0
50,1,56,2639.462857,199,67,17,0,1
50,1,57,2145.904762,206,67,17,0,0
50,1,58,2805.770476,240,67,17,0,0
50,1,59,2816.5,223,67,17,0,0
50,1,60,2773.581905,206,67,17,0,0
50,1,61,2929.16,239,67,17,0,0
50,1,62,2156.634286,213,67,17,0,0
50,1,63,2242.470476,223,67,17,0,1
50,1,64,3315.422857,223,67,17,0,0
50,1,65,2564.356191,209,67,17,0,0
50,1,66,2312.212381,230,67,17,0,0
50,1,67,3014.996191,224,67,17,0,0
50,1,68,3175.939048,207,67,17,0,0
50,1,69,2832.594286,202,67,17,0,1
50,1,70,3379.8,233,67,17,0,0
50,1,71,2945.254286,224,67,17,0,0
50,1,72,2553.626667,244,67,17,0,1
50,1,73,3454.906667,243,67,17,0,0
50,2,1,1958.138095,71,67,17,1,1
50,2,2,1260.719048,66,67,17,1,0
50,2,3,1947.408572,69,67,17,1,1
50,2,4,1722.088572,75,67,17,1,1
50,2,5,1550.416191,98,67,17,1,0
50,2,6,1925.949524,69,67,17,1,0
50,2,7,1824.019048,89,67,17,1,0
50,2,8,1523.592381,79,67,17,1,1
50,2,9,2076.162857,59,67,17,1,0
50,2,10,1888.396191,79,67,17,1,0
50,2,11,1287.542857,80,67,17,1,0
50,2,12,2451.696191,68,67,17,1,0
50,2,13,1341.190476,68,67,17,1,1
50,2,14,1797.195238,80,67,17,1,0
50,2,15,1754.277143,82,67,17,1,0
50,2,16,1705.994286,71,67,17,1,0
50,2,17,1566.510476,67,67,17,1,0
50,2,18,1657.711429,64,67,17,1,0
50,2,19,1781.100952,68,67,17,1,0
50,2,20,1770.371429,57,67,17,1,0
50,2,21,1587.969524,86,67,17,1,0
50,2,22,1341.190476,60,67,17,1,0
50,2,23,1673.805714,81,67,17,1,0
50,2,24,1239.26,76,67,17,1,0
50,2,25,2129.810476,74,67,17,1,0
50,2,26,1571.875238,77,67,17,1,0
50,2,27,1249.989524,70,67,17,1,0
50,2,28,2086.892381,85,67,17,1,0
50,2,29,1936.679048,61,67,17,1,0
50,2,30,1727.453333,55,67,17,1,0
50,2,31,2076.162857,68,67,17,1,0
50,2,32,1722.088572,87,67,17,1,0
50,2,33,2280.02381,73,67,17,1,0
50,2,34,1636.252381,75,67,17,1,0
50,2,35,1249.989524,80,67,17,1,0
50,2,36,1711.359048,75,67,17,1,0
50,2,37,2006.420952,86,67,17,1,0
50,2,38,2049.339048,77,67,17,1,0
50,2,39,2473.155238,79,67,17,1,0
50,2,40,1915.22,92,67,17,0,1
50,2,41,1309.001905,77,67,17,0,0
50,2,42,2440.966667,75,67,17,0,1
50,2,43,2076.162857,74,67,17,0,0
50,2,44,2381.954286,87,67,17,0,0
50,2,45,1480.674286,81,67,17,0,0
50,2,46,2237.105714,61,67,17,0,0
50,2,47,906.6447619,63,67,17,0,1
50,2,48,1373.379048,64,67,17,0,0
50,2,49,1233.895238,71,67,17,0,0
50,2,50,1410.932381,85,67,17,0,1
50,2,51,1673.805714,77,67,17,0,0
50,2,52,1866.937143,71,67,17,0,0
50,2,53,1738.182857,81,67,17,0,0
50,2,54,1362.649524,75,67,17,0,0
50,2,55,1856.207619,70,67,17,0,0
50,2,56,2424.872381,83,67,17,0,0
50,2,57,1239.26,64,67,17,0,0
50,2,58,2065.433333,91,67,17,0,0
50,2,59,1362.649524,76,67,17,0,0
50,2,60,1228.530476,58,67,17,0,0
50,2,61,1700.629524,94,67,17,0,0
50,2,62,2188.822857,63,67,17,0,1
50,2,63,2054.70381,66,67,17,0,0
50,2,64,1582.604762,81,67,17,0,1
50,2,65,1679.170476,100,67,17,0,0
50,2,66,1888.396191,64,67,17,0,0
50,2,67,2290.753333,74,67,17,0,0
50,2,68,2081.527619,77,67,17,0,1
50,2,69,1759.641905,67,67,17,0,0
50,2,70,2580.450476,71,67,17,0,0
50,2,71,2424.872381,75,67,17,0,0
50,2,72,1475.309524,81,67,17,0,0
50,2,73,1968.867619,85,67,17,0,1
51,1,1,3110.100576,229,68,17,1,0
51,1,2,3234.032478,229,68,17,1,0
51,1,3,3157.312729,221,68,17,1,1
51,1,4,3611.729701,273,68,17,1,0
51,1,5,3983.525406,235,68,17,1,0
51,1,6,3505.502357,245,68,17,1,0
51,1,7,3216.32792,242,68,17,1,0
51,1,8,3735.661603,221,68,17,1,0
51,1,9,3021.577789,271,68,17,1,1
51,1,10,3959.91933,227,68,17,1,0
51,1,11,3936.313253,233,68,17,1,0
51,1,12,4420.237821,199,68,17,1,0
51,1,13,3186.820325,204,68,17,1,1
51,1,14,2679.28968,218,68,17,1,0
51,1,15,3487.7978,235,68,17,1,0
51,1,16,3369.767418,203,68,17,1,0
51,1,17,3216.32792,242,68,17,1,1
51,1,18,2933.055003,228,68,17,1,0
51,1,19,3540.911472,230,68,17,1,0
51,1,20,3257.638554,244,68,17,1,0
51,1,21,3399.275013,207,68,17,1,1
51,1,22,3393.373494,244,68,17,1,1
51,1,23,3056.986904,220,68,17,1,0
51,1,24,3948.116291,231,68,17,1,1
51,1,25,3706.154007,223,68,17,1,0
51,1,26,2502.244107,234,68,17,0,1
51,1,27,3316.653745,234,68,17,0,1
51,1,28,3889.1011,224,68,17,0,0
51,1,29,3918.608696,231,68,17,0,0
51,1,30,3570.419068,220,68,17,0,0
51,1,31,2891.744369,185,68,17,0,0
51,1,32,3434.684128,246,68,17,0,0
51,1,33,2868.138292,220,68,17,0,0
51,1,34,3139.608172,227,68,17,0,0
51,1,35,2750.10791,243,68,17,0,0
51,1,36,3959.91933,208,68,17,0,0
51,1,37,3116.002095,247,68,17,0,0
51,1,38,4337.616553,218,68,17,0,0
51,1,39,3127.805134,274,68,17,0,0
51,1,40,2289.789419,235,68,17,0,0
51,1,41,3269.441592,219,68,17,0,0
51,1,42,3363.865898,229,68,17,0,0
51,1,43,3812.381352,231,68,17,0,0
51,1,44,3416.97957,200,68,17,0,0
51,1,45,3511.403876,238,68,17,0,0
51,1,46,2962.562598,251,68,17,0,0
51,1,47,3110.100576,245,68,17,0,0
51,1,48,2950.75956,229,68,17,0,0
51,1,49,3416.97957,221,68,17,0,1
51,1,50,3251.737035,249,68,17,0,0
