"data_id","treat","age","educ","black","hisp","marr","nodegree","re74","re75","re78","agesq","agecube","educsq","u74","u75","interaction1","re74sq","re75sq","interaction2"
"CPS1",0,32,10,0,0,1,1,20427.3203125,23374.44921875,9179.63671875,1024,32768,100,0,0,204273.203125,417275415.149475,546364876.279922,0
"CPS1",0,27,12,0,0,1,0,20983.75,14822.080078125,25564.669921875,729,19683,144,0,0,251805,440317764.0625,219694057.84235,0
"CPS1",0,46,7,0,0,1,1,19171.4296875,1317.67700195312,0,2116,97336,49,0,0,134200.0078125,367543716.262756,1736272.68147618,0
"CPS1",0,24,13,0,0,0,0,20830.919921875,25243.55078125,23903.7109375,576,13824,169,0,0,270801.958984375,433927224.791569,637236856.045547,0
"CPS1",0,22,13,0,0,0,0,11036.5498046875,10351.650390625,6556.6728515625,484,10648,169,0,0,143475.147460938,121805431.591348,107156665.809727,0
"CPS1",0,49,10,0,0,1,1,391.853393554688,0,0,2401,117649,100,0,1,3918.53393554688,153549.082040325,0,0
"CPS1",0,17,10,0,0,0,1,0,0,4755.32421875,289,4913,100,1,1,0,0,0,0
"CPS1",0,29,14,0,0,1,0,21499.029296875,22586.7109375,20923.130859375,841,24389,196,0,0,300986.41015625,462208260.70789,510159510.974182,0
"CPS1",0,28,16,0,0,1,0,16500.94921875,0,10267.240234375,784,21952,256,0,1,264015.1875,272281325.119766,0,0
"CPS1",0,46,12,0,0,1,0,24814.109375,24967.83984375,19339.009765625,2116,97336,144,0,0,297769.3125,615740024.074463,623393026.46315,0
"CPS1",0,26,17,1,0,1,0,0,0,4753.84619140625,676,17576,289,1,1,0,0,0,0
"CPS1",0,49,12,0,0,0,0,25862.3203125,25243.55078125,25564.669921875,2401,117649,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,51,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875,2601,132651,100,0,0,258623.203125,668859611.94635,637236856.045547,0
"CPS1",0,51,10,0,0,1,1,22923.419921875,21725.560546875,10348.51953125,2601,132651,100,0,0,229234.19921875,525483180.914616,471999981.075932,0
"CPS1",0,27,11,0,0,1,1,17022.109375,18123.439453125,18490.7890625,729,19683,121,0,0,187243.203125,289752207.574463,328459057.611088,0
"CPS1",0,23,13,0,0,0,0,19098.9296875,21014.810546875,0,529,12167,169,0,0,248286.0859375,364769115.208069,441622262.321049,0
"CPS1",0,27,10,0,0,1,1,7952.6640625,9755.4677734375,13105.9599609375,729,19683,100,0,0,79526.640625,63244865.690979,95169151.4785776,0
"CPS1",0,38,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875,1444,54872,100,0,0,258623.203125,668859611.94635,637236856.045547,0
"CPS1",0,32,8,0,0,0,1,7186.5908203125,6149.7578125,8414.1748046875,1024,32768,64,0,0,57492.7265625,51647087.6185999,37819521.1524048,0
"CPS1",0,34,14,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1156,39304,196,0,0,362072.484375,668859611.94635,637236856.045547,0
"CPS1",0,26,18,0,0,1,0,20971.990234375,21883.109375,25564.669921875,676,17576,324,0,0,377495.82421875,439824374.39072,478870475.918213,0
"CPS1",0,21,13,0,0,0,0,8638.4072265625,8176.40283203125,6753.2099609375,441,9261,169,0,0,112299.293945312,74622079.4119272,66853563.2716486,0
"CPS1",0,39,8,0,1,0,1,13499.349609375,16383.240234375,16461.869140625,1521,59319,64,0,0,107994.796875,182232439.876133,268410560.577244,0
"CPS1",0,17,8,1,0,0,1,0,451.161285400391,0,289,4913,64,1,0,0,0,203546.505444133,0
"CPS1",0,22,11,0,1,1,1,17466.859375,17779.689453125,14438.8701171875,484,10648,121,0,0,192135.453125,305091176.426025,316117357.049564,0
"CPS1",0,21,12,0,1,0,0,0,0,0,441,9261,144,1,1,0,0,0,1
"CPS1",0,44,9,0,1,1,1,15390.0400390625,14886.5302734375,12634.5595703125,1936,85184,81,0,0,138510.360351562,236853332.403947,221608783.581971,0
"CPS1",0,26,10,0,1,1,1,17125.94921875,17446.689453125,13518.240234375,676,17576,100,0,0,171259.4921875,293298136.643204,304386972.873783,0
"CPS1",0,54,4,0,1,1,1,13350.4404296875,13180.349609375,13741.3798828125,2916,157464,16,0,0,53401.76171875,178234259.666635,173721615.825352,0
"CPS1",0,42,12,0,1,1,0,21663.609375,22013.810546875,19941.919921875,1764,74088,144,0,0,259963.3125,469311971.152588,484607854.793705,0
"CPS1",0,25,12,0,0,0,0,8105.48681640625,11869.83984375,6170.98583984375,625,15625,144,0,0,97265.841796875,65698916.5309355,140893097.916275,0
"CPS1",0,20,13,0,0,0,0,317.401214599609,214.83869934082,0,400,8000,169,0,0,4126.21578979492,100743.531029307,46155.6667344554,0
"CPS1",0,44,11,0,0,1,1,25862.3203125,25243.55078125,25564.669921875,1936,85184,121,0,0,284485.5234375,668859611.94635,637236856.045547,0
"CPS1",0,33,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1089,35937,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,40,12,0,0,1,0,25862.3203125,14494.4501953125,25564.669921875,1600,64000,144,0,0,310347.84375,668859611.94635,210089086.464395,0
"CPS1",0,25,16,0,0,1,0,21048.400390625,22916.130859375,23574.169921875,625,15625,256,0,0,336774.40625,443035159.004063,525149053.563999,0
"CPS1",0,33,12,0,0,0,0,12694.08984375,13046.080078125,11264.7099609375,1089,35937,144,0,0,152329.078125,161139916.961197,170200205.40485,0
"CPS1",0,52,13,1,0,0,0,19827.779296875,19668.48046875,18437.58984375,2704,140608,169,0,0,257761.130859375,393140831.845585,386849123.9496,0
"CPS1",0,54,14,0,0,1,0,24686.759765625,25243.55078125,25564.669921875,2916,157464,196,0,0,345614.63671875,609436107.725681,637236856.045547,0
"CPS1",0,27,15,0,0,0,0,19200.810546875,19303.259765625,18207.0703125,729,19683,225,0,0,288012.158203125,368671125.656986,372615837.579197,0
"CPS1",0,51,10,0,0,1,1,7488.31787109375,7888.1611328125,6148.81982421875,2601,132651,100,0,0,74883.1787109375,56074904.538542,62223086.0572138,0
"CPS1",0,42,12,0,0,1,0,6502.80712890625,15241.01953125,15468.83984375,1764,74088,144,0,0,78033.685546875,42286500.5557539,232288676.351944,0
"CPS1",0,50,10,0,0,1,1,25862.3203125,25243.55078125,25564.669921875,2500,125000,100,0,0,258623.203125,668859611.94635,637236856.045547,0
"CPS1",0,47,10,0,0,1,1,15282.2802734375,13964.51953125,9043.6865234375,2209,103823,100,0,0,152822.802734375,233548090.355897,195007805.738663,0
"CPS1",0,28,12,0,0,1,0,24224.369140625,11019.4404296875,20055.7109375,784,21952,144,0,0,290692.4296875,586820060.261265,121428067.383431,0
"CPS1",0,33,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1089,35937,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,33,13,0,0,1,0,21146.369140625,18732.150390625,22254.560546875,1089,35937,169,0,0,274902.798828125,447168927.831577,350893458.256992,0
"CPS1",0,55,16,0,0,1,0,25862.3203125,24627.6796875,25564.669921875,3025,166375,256,0,0,413797.125,668859611.94635,606522606.7901,0
"CPS1",0,38,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1444,54872,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,39,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1521,59319,256,0,0,413797.125,668859611.94635,637236856.045547,0
"CPS1",0,27,17,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,729,19683,289,0,0,439659.4453125,668859611.94635,637236856.045547,0
"CPS1",0,16,9,0,0,0,1,378.138488769531,467.274200439453,4306.09521484375,256,4096,81,0,0,3403.24639892578,142988.716688905,218345.17839633,0
"CPS1",0,35,12,0,0,1,0,6645.8330078125,3331.7900390625,0,1225,42875,144,0,0,79749.99609375,44167096.3677301,11100824.8643961,0
"CPS1",0,35,12,0,0,1,0,22421.849609375,21093.580078125,23590.4296875,1225,42875,144,0,0,269062.1953125,502739339.90543,444939120.512272,0
"CPS1",0,45,12,0,0,1,0,25862.3203125,25243.55078125,0,2025,91125,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,51,11,0,0,1,1,18270.16015625,21637.83984375,20267.01953125,2601,132651,121,0,0,200971.76171875,333798752.135025,468196113.103775,0
"CPS1",0,27,16,0,0,0,0,11316.73046875,1761.67700195312,5532.60791015625,729,19683,256,0,0,181067.6875,128068388.502335,3103505.85921055,0
"CPS1",0,28,14,0,0,1,0,0,0,18719.83984375,784,21952,196,1,1,0,0,0,0
"CPS1",0,35,18,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1225,42875,324,0,0,465521.765625,668859611.94635,637236856.045547,0
"CPS1",0,39,10,0,0,1,1,18534.66015625,0,21496.490234375,1521,59319,100,0,1,185346.6015625,343533627.107681,0,0
"CPS1",0,33,12,0,0,0,0,25862.3203125,25243.55078125,25564.669921875,1089,35937,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,52,16,0,0,1,0,25862.3203125,25241.759765625,12429.16015625,2704,140608,256,0,0,413797.125,668859611.94635,637146436.065525,0
"CPS1",0,22,13,0,0,0,0,5023.56005859375,6819.3388671875,13943.830078125,484,10648,169,0,0,65306.2807617188,25236155.6622984,46503382.5855341,0
"CPS1",0,25,12,0,0,1,0,20070.73046875,11117.900390625,19003.560546875,625,15625,144,0,0,240848.765625,402834221.54921,123607709.09586,0
"CPS1",0,28,16,0,0,1,0,25013.9609375,22710.240234375,0,784,21952,256,0,0,400223.375,625698241.782776,515755011.503025,0
"CPS1",0,27,16,0,0,1,0,16888.880859375,16200.6298828125,17295.310546875,729,19683,256,0,0,270222.09375,285234296.682163,262460408.599877,0
"CPS1",0,30,13,0,0,0,0,8362.1513671875,7990.2099609375,8590.025390625,900,27000,169,0,0,108707.967773438,69925575.4877558,63843455.2198648,0
"CPS1",0,28,15,0,0,0,0,9672.900390625,8085.09716796875,14348.73046875,784,21952,225,0,0,145093.505859375,93565001.9669533,65368796.2154963,0
"CPS1",0,24,12,0,0,1,0,19083.259765625,18270.240234375,22261.94921875,576,13824,144,0,0,228999.1171875,364170803.282322,333801678.221775,0
"CPS1",0,29,11,1,0,0,1,14743.48046875,14954.5595703125,13714.7802734375,841,24389,121,0,0,162178.28515625,217370216.332413,223638851.942025,0
"CPS1",0,49,7,1,0,0,1,16444.130859375,16028.759765625,15965.3603515625,2401,117649,49,0,0,115108.916015625,270409439.720249,256921139.624119,0
"CPS1",0,22,12,0,0,1,0,13352.400390625,14358.3896484375,17051.490234375,484,10648,144,0,0,160228.8046875,178286596.191563,206163353.296357,0
"CPS1",0,30,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,900,27000,256,0,0,413797.125,668859611.94635,637236856.045547,0
"CPS1",0,45,12,0,0,1,0,24185.189453125,25243.55078125,0,2025,91125,144,0,0,290222.2734375,584923388.883549,637236856.045547,0
"CPS1",0,44,12,0,0,1,0,24669.130859375,24418.2109375,25564.669921875,1936,85184,144,0,0,296029.5703125,608566017.356968,596249025.388245,0
"CPS1",0,21,12,0,0,0,0,11465.6298828125,1953.24194335938,25564.669921875,441,9261,144,0,0,137587.55859375,131460668.609643,3815154.08929831,0
"CPS1",0,26,13,0,0,1,0,11661.5595703125,4142.80615234375,18650.390625,676,17576,169,0,0,151600.274414062,135991971.611947,17162842.8158972,0
"CPS1",0,25,16,0,0,1,0,18822.6796875,20112.48046875,20986.669921875,625,15625,256,0,0,301162.875,354293270.618225,404511870.60585,0
"CPS1",0,45,8,0,0,1,1,16883,15316.2099609375,17010.109375,2025,91125,64,0,0,135064,285035689,234586287.567521,0
"CPS1",0,19,9,0,0,0,1,3311.16088867188,10525.3095703125,1693.47497558594,361,6859,81,0,0,29800.4479980469,10963786.4306703,110782141.550912,0
"CPS1",0,55,9,0,0,1,1,12609.83984375,12349.650390625,12201.58984375,3025,166375,81,0,0,113488.55859375,159008060.885025,152513864.770664,0
"CPS1",0,22,12,0,0,1,0,12423.7099609375,13035.33984375,17482.98046875,484,10648,144,0,0,149084.51953125,154348569.193498,169920084.842056,0
"CPS1",0,37,18,0,0,1,0,0,16735.939453125,25564.669921875,1369,50653,324,1,0,0,0,280091669.378666,0
"CPS1",0,38,12,0,0,1,0,25862.3203125,25243.55078125,25298.6796875,1444,54872,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,29,13,0,0,1,0,17962.560546875,11590.5498046875,2639.21997070312,841,24389,169,0,0,233513.287109375,322653581.40015,134340844.774941,0
"CPS1",0,43,8,0,0,1,1,21044.48046875,25243.55078125,1301.876953125,1849,79507,64,0,0,168355.84375,442870158.1996,637236856.045547,0
"CPS1",0,51,10,0,0,1,1,25862.3203125,19817.080078125,4.43317985534668,2601,132651,100,0,0,258623.203125,668859611.94635,392716662.822819,0
"CPS1",0,25,14,0,0,1,0,11769.3203125,11624.5595703125,13903.9296875,625,15625,196,0,0,164770.484375,138516900.618225,135130385.203744,0
"CPS1",0,52,12,0,0,1,0,20776.0703125,20808.919921875,10394.330078125,2704,140608,144,0,0,249312.84375,431645097.629944,433011148.315006,0
"CPS1",0,26,14,0,0,1,0,22886.19921875,24523.83984375,25564.669921875,676,17576,196,0,0,320406.7890625,523778114.680313,601418720.6819,0
"CPS1",0,37,18,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1369,50653,324,0,0,465521.765625,668859611.94635,637236856.045547,0
"CPS1",0,36,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1296,46656,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,27,14,0,0,1,0,6395.046875,18513.73046875,21258.5703125,729,19683,196,0,0,89530.65625,40896624.5334473,342758215.869522,0
"CPS1",0,21,11,0,0,1,1,20817.2109375,25243.55078125,25564.669921875,441,9261,121,0,0,228989.3203125,433356271.21637,637236856.045547,0
"CPS1",0,44,12,0,0,1,0,22686.349609375,0,19081.880859375,1936,85184,144,0,1,272236.1953125,514670458.598789,0,0
"CPS1",0,49,17,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,2401,117649,289,0,0,439659.4453125,668859611.94635,637236856.045547,0
"CPS1",0,32,0,0,0,0,1,4559.2138671875,3976.30590820312,7246.77099609375,1024,32768,0,0,0,0,20786431.0867548,15811008.6756111,0
"CPS1",0,23,12,0,0,1,0,16593.029296875,17622.150390625,22872.25,529,12167,144,0,0,199116.3515625,275328621.246952,310540184.389805,0
"CPS1",0,46,12,0,0,1,0,18636.55078125,18214.740234375,20485.720703125,2116,97336,144,0,0,223638.609375,347321025.02211,331776761.805759,0
"CPS1",0,17,10,0,0,0,1,0,1536.09704589844,19808.919921875,289,4913,100,1,0,0,0,2359594.13441791,0
"CPS1",0,26,12,0,0,1,0,19067.580078125,24849.6796875,22545.669921875,676,17576,144,0,0,228810.9609375,363572610.035709,617506580.57135,0
"CPS1",0,27,12,0,0,1,0,19637.73046875,8178.19384765625,25564.669921875,729,19683,144,0,0,235652.765625,385640457.963272,66882854.6098425,0
"CPS1",0,30,15,0,0,1,0,23871.7109375,25243.55078125,25564.669921875,900,27000,225,0,0,358075.6640625,569858583.083557,637236856.045547,0
"CPS1",0,23,12,0,0,0,0,23826.640625,24942.76953125,25523.2890625,529,12167,144,0,0,285919.6875,567708803.4729,622141751.889053,0
"CPS1",0,22,12,0,0,1,0,13540.490234375,21766.740234375,25564.669921875,484,10648,144,0,0,162485.8828125,183344875.787205,473790980.430759,0
"CPS1",0,30,18,0,0,1,0,23127.189453125,23580.33984375,25564.669921875,900,27000,324,0,0,416289.41015625,534866892.000736,556032427.146744,0
"CPS1",0,32,14,0,0,1,0,20145.1796875,15941.0302734375,25564.669921875,1024,32768,196,0,0,282032.515625,405828264.641663,254116446.178651,0
"CPS1",0,27,14,0,0,0,0,15576.169921875,24706.44921875,25564.669921875,729,19683,196,0,0,218066.37890625,242617069.435123,610408632.998672,0
"CPS1",0,18,12,0,0,0,0,4729.669921875,3328.2099609375,12602.0498046875,324,5832,144,0,0,56756.0390625,22369777.5698891,11076981.5440836,0
"CPS1",0,33,18,0,0,0,0,0,0,25564.669921875,1089,35937,324,1,1,0,0,0,0
"CPS1",0,22,11,0,0,0,1,5325.287109375,1061.66101074219,0,484,10648,121,0,0,58578.158203125,28358682.7972755,1127124.10173012,0
"CPS1",0,23,16,0,0,0,0,2358.95703125,0,3270.208984375,529,12167,256,0,1,37743.3125,5564678.27528381,0,0
"CPS1",0,51,10,0,0,1,1,19030.359375,17532.630859375,0,2601,132651,100,0,0,190303.59375,362154577.94165,307393144.851109,0
"CPS1",0,21,15,0,0,0,0,2470.63500976562,5116.7421875,10890.83984375,441,9261,225,0,0,37059.5251464844,6104037.35147959,26181050.6133423,0
"CPS1",0,18,12,0,0,0,0,9065.52734375,9338.3232421875,7972.3349609375,324,5832,144,0,0,108786.328125,82183786.0202789,87204280.9755793,0
"CPS1",0,53,10,0,0,1,1,0,0,0,2809,148877,100,1,1,0,0,0,0
"CPS1",0,21,12,0,0,0,0,4055.68188476562,1867.30603027344,0,441,9261,144,0,0,48668.1826171875,16448555.5504161,3486831.81069554,0
"CPS1",0,32,16,0,0,1,0,22525.689453125,22712.029296875,25564.669921875,1024,32768,256,0,0,360411.03125,507406685.338627,515836274.782108,0
"CPS1",0,41,12,0,0,1,0,25862.3203125,24745.83984375,25564.669921875,1681,68921,144,0,0,310347.84375,668859611.94635,612356589.572525,0
"CPS1",0,48,12,0,0,0,0,25862.3203125,25243.55078125,25564.669921875,2304,110592,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,25,18,0,0,0,0,2351.1201171875,211.258102416992,25564.669921875,625,15625,324,0,0,42320.162109375,5527765.80544376,44629.9858368284,0
"CPS1",0,23,16,0,0,0,0,913.018310546875,8675.9033203125,14265.9697265625,529,12167,256,0,0,14608.29296875,833602.43539387,75271298.4234095,0
"CPS1",0,30,12,0,0,1,0,0,0,0,900,27000,144,1,1,0,0,0,0
"CPS1",0,22,12,0,0,1,0,1806.44396972656,7114.7421875,0,484,10648,144,0,0,21677.3276367188,3263239.81576146,50619556.3945923,0
"CPS1",0,44,10,0,0,1,1,5940.4970703125,2739.19409179688,2167.82495117188,1936,85184,100,0,0,59404.970703125,35289505.4423914,7503184.27253491,0
"CPS1",0,17,11,0,0,0,1,2447.1240234375,3267.33911132812,7942.77978515625,289,4913,121,0,0,26918.3642578125,5988415.98608494,10675504.8684145,0
"CPS1",0,23,12,0,0,0,0,331.116088867188,0,594.046081542969,529,12167,144,0,1,3973.39306640625,109637.864306703,0,0
"CPS1",0,47,8,0,0,1,1,25168.740234375,22651.16015625,24401.69921875,2209,103823,64,0,0,201349.921875,633465484.985447,513075056.424088,0
"CPS1",0,54,12,0,0,1,0,0,0,0,2916,157464,144,1,1,0,0,0,0
"CPS1",0,49,8,0,0,1,1,11408.8095703125,3709.54809570312,19136.560546875,2401,117649,64,0,0,91270.4765625,130160935.811654,13760747.0743347,0
"CPS1",0,36,18,0,0,1,0,23742.400390625,25243.55078125,25564.669921875,1296,46656,324,0,0,427363.20703125,563701576.30875,637236856.045547,0
"CPS1",0,33,14,0,0,1,0,24951.259765625,23277.76953125,25564.669921875,1089,35937,196,0,0,349317.63671875,622565363.891697,541854554.349991,0
"CPS1",0,43,15,0,0,1,0,19386.94921875,25207.740234375,22579.66015625,1849,79507,225,0,0,290804.23828125,375853800.010391,635430167.723728,0
"CPS1",0,37,10,0,0,0,1,17235.669921875,18397.349609375,0,1369,50653,100,0,0,172356.69921875,297068317.655827,338462472.64957,0
"CPS1",0,48,12,0,0,0,0,16536.2109375,16605.240234375,16713.08984375,2304,110592,144,0,0,198434.53125,273446272.169495,275734003.241306,0
"CPS1",0,54,12,0,0,0,0,0,0,0,2916,157464,144,1,1,0,0,0,0
"CPS1",0,28,16,0,0,0,0,92.0855407714844,0,626.556091308594,784,21952,256,0,1,1473.36865234375,8479.74681917671,0,0
"CPS1",0,35,3,0,0,1,1,19620.099609375,20361.33984375,15347.669921875,1225,42875,9,0,0,58860.298828125,384948308.681797,414584160.232681,0
"CPS1",0,55,12,0,0,1,0,14696.4599609375,3134.85498046875,0,3025,166375,144,0,0,176357.51953125,215985935.383439,9827315.74856973,0
"CPS1",0,53,7,0,0,1,1,22308.2109375,21521.470703125,10159.3701171875,2809,148877,49,0,0,156157.4765625,497656275.231995,463173701.225468,0
"CPS1",0,25,12,0,0,1,0,19888.51953125,17756.419921875,14422.6103515625,625,15625,144,0,0,238662.234375,395553209.144913,315290448.441959,0
"CPS1",0,30,8,0,0,1,1,18691.41015625,15543.580078125,22984.560546875,900,27000,64,0,0,149531.28125,349368813.629166,241602881.645084,0
"CPS1",0,44,5,0,0,0,1,12764.6201171875,9442.1611328125,6224.18408203125,1936,85184,25,0,0,63823.1005859375,162935526.736108,89154406.857995,0
"CPS1",0,44,6,0,0,1,1,25862.3203125,15217.740234375,25564.669921875,1936,85184,36,0,0,155173.921875,668859611.94635,231579617.840916,0
"CPS1",0,20,10,0,0,0,1,3814.69189453125,5234.90283203125,5021.31494140625,400,8000,100,0,0,38146.9189453125,14551874.2502024,27404207.6608088,0
"CPS1",0,49,9,0,0,1,1,17147.5,12747.099609375,12683.330078125,2401,117649,81,0,0,154327.5,294036756.25,162488548.451328,0
"CPS1",0,55,8,0,0,1,1,5619.1767578125,5449.7421875,23559.390625,3025,166375,64,0,0,44953.4140625,31575147.4355402,29699689.9102173,0
"CPS1",0,51,16,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,2601,132651,256,0,0,413797.125,668859611.94635,637236856.045547,0
"CPS1",0,24,16,0,0,0,0,9692.4931640625,16012.650390625,7326.56787109375,576,13824,256,0,0,155079.890625,93944423.7353983,256404972.532383,0
"CPS1",0,54,10,0,0,1,1,25055.099609375,25243.55078125,22154.080078125,2916,157464,100,0,0,250550.99609375,627758016.435703,637236856.045547,0
"CPS1",0,32,16,1,0,0,0,17135.75,1031.22595214844,0,1024,32768,256,0,0,274172,293633928.0625,1063426.96438445,0
"CPS1",0,19,4,0,1,1,1,2298.21997070312,1786.74194335938,11607.5400390625,361,6859,16,0,0,9192.8798828125,5281815.03373867,3192446.77215964,0
"CPS1",0,36,18,0,0,0,0,0,0,0,1296,46656,324,1,1,0,0,0,0
"CPS1",0,55,10,0,0,1,1,0,0,0,3025,166375,100,1,1,0,0,0,0
"CPS1",0,25,12,0,0,1,0,8679.5517578125,17666.900390625,17465.25,625,15625,144,0,0,104154.62109375,75334618.7165461,312119369.412266,0
"CPS1",0,26,18,0,0,1,0,0,8414.515625,22867.8203125,676,17576,324,1,0,0,0,70804073.2033691,0
"CPS1",0,19,13,0,0,0,0,5060.7861328125,5182.98388671875,16382.080078125,361,6859,169,0,0,65790.2197265625,25611556.2820673,26863321.9699862,0
"CPS1",0,52,11,0,0,1,1,25862.3203125,25243.55078125,23290.44921875,2704,140608,121,0,0,284485.5234375,668859611.94635,637236856.045547,0
"CPS1",0,19,12,0,0,0,0,4335.85693359375,4687.06494140625,21407.8203125,361,6859,144,0,0,52030.283203125,18799655.348593,21968577.7649596,0
"CPS1",0,17,11,0,0,0,1,43.1038703918457,0,14911.740234375,289,4913,121,0,1,474.142574310303,1857.94364275703,0,0
"CPS1",0,23,10,0,0,1,1,10595.7099609375,1462.69396972656,11861.7099609375,529,12167,100,0,0,105957.099609375,112269069.57631,2139473.64907445,0
"CPS1",0,44,12,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1936,85184,144,0,0,310347.84375,668859611.94635,637236856.045547,0
"CPS1",0,28,12,0,0,1,0,13095.740234375,4998.5810546875,9376.1748046875,784,21952,144,0,0,157148.8828125,171498412.286228,24985812.5602808,0
"CPS1",0,49,8,0,0,1,1,17911.619140625,23684.1796875,9464.8388671875,2401,117649,64,0,0,143292.953125,320826100.238804,560940367.469788,0
"CPS1",0,54,10,0,0,1,1,14522.08984375,8738.5654296875,8486.583984375,2916,157464,100,0,0,145220.8984375,210891093.429947,76362525.7689295,0
"CPS1",0,22,11,0,0,0,1,5656.40283203125,0,3895.287109375,484,10648,121,0,1,62220.4311523438,31994892.9982111,0,0
"CPS1",0,33,13,0,0,1,0,25862.3203125,25243.55078125,25564.669921875,1089,35937,169,0,0,336210.1640625,668859611.94635,637236856.045547,0
"CPS1",0,40,12,0,0,0,0,20468.4609375,6205.2578125,22680.150390625,1600,64000,144,0,0,245621.53125,418957893.149963,38505224.5195923,0
"CPS1",0,47,12,0,0,1,0,25862.3203125,20522.470703125,24505.140625,2209,103823,144,0,0,310347.84375,668859611.94635,421171803.760624,0
"CPS1",0,21,12,0,0,0,0,9792.4150390625,2169.87109375,14998.919921875,441,9261,144,0,0,117508.98046875,95891392.2972574,4708340.56349182,0
"CPS1",0,17,10,0,0,0,1,0,0,1384.63000488281,289,4913,100,1,1,0,0,0,0
"CPS1",0,16,9,0,0,0,1,0,1346.32299804688,6705.9228515625,256,4096,81,1,0,0,0,1812585.61506993,0
"CPS1",0,40,12,0,0,1,0,15435.099609375,12927.919921875,13061.6298828125,1600,64000,144,0,0,185221.1953125,238242299.951328,167131113.506413,0
"CPS1",0,36,12,0,0,1,0,25241.23046875,25243.55078125,25564.669921875,1296,46656,144,0,0,302894.765625,637119715.576553,637236856.045547,0
